userid,catid,rating
5925916,3651,2
10642974,9824,2
19362088,10594,2
7178702,9843,14
15391137,16784,6
8101138,12370,1
22553933,10746,36
13878141,6858,16
20711693,19011,7
22319769,18265,10
22499456,10594,1
9718163,3561,12
2227138,6858,6
8611065,12370,1
8254521,18911,5
18624139,9516,2
16823982,16806,6
15739322,4516,8
4312996,6509,4
13184863,16367,1
16546259,11196,16
12604844,4892,1
1283671,17562,6
9368113,10265,3
9492929,8367,2
4745560,3651,16
20586451,3092,4
7982243,17624,3
2083548,19867,6
19328645,18844,10
7449107,1379,20
6018140,13912,2
22141239,12003,1
1188614,15389,9
19671896,12726,6
17945505,17887,14
10208178,4892,1
22684532,6846,48
13766954,18253,1
10642974,12321,2
4186281,17562,2
4399394,9385,4
355245,11999,1
13314246,8815,2
828153,18265,2
3241402,11447,2
515980,11447,1
7222959,11881,4
11951911,6856,2
5690342,9258,4
7391226,18102,1
5493325,19085,6
22456695,18265,12
7755996,10746,1
15763243,6858,8
22321139,14011,4
13187785,17620,1
21861045,3304,1
4584777,17384,1
6940979,10447,15
8114746,3651,2
13883532,9618,1
11971741,2543,6
14467419,18265,2
5818847,3561,1
348841,6252,4
9506534,10231,57
13896119,13890,2
22437103,10099,65
20123593,19087,18
9830508,12965,2
4190899,6858,10
16202381,12372,1
7433525,12370,4
16898016,18265,10
5225739,5494,13
9958042,10275,4
20275036,19089,7
9060335,16204,1
20123593,10175,2
5209427,6337,12
586890,8144,18
6037697,10746,2
5320845,4,1
9610227,9835,2
2317049,11931,4
19460511,18853,2
11808781,12899,4
18290493,11021,6
19587110,19656,8
9492929,5166,4
1993312,3651,6
3501892,5088,5
19718734,10746,1
9199019,6645,2
5926616,11039,10
11869027,8751,1
13183445,4309,2
15623943,8144,4
7690457,19089,2
21523826,12370,3
15190589,11881,2
9948020,4206,80
15436679,3651,9
20123593,16814,2
617022,12370,1
18526868,17568,1
701666,4287,11
3640379,8714,11
20123593,8714,38
20123593,15471,24
441970,18222,1
20394085,3651,51
12284598,11447,7
19321729,16065,1
11641260,17562,4
12720004,12005,2
19121084,1674,2
1658082,6846,7
15735115,915,5
19784381,6482,6
4990863,19656,11
8355729,10656,4
5394352,8144,3
3631065,12899,5
10085723,9893,3
22370487,17562,4
22916430,13987,6
21300283,6482,2
2674882,18265,6
14133958,11019,8
2320969,17189,8
10681280,8144,31
21869270,10641,12
3755058,9813,4
9512952,10302,2
13807000,18265,1
19084043,17189,1
16549771,16366,1
18741760,6012,10
3389954,19466,1
8580924,12370,1
14162880,6856,1
11743788,12334,1
2346668,8130,2
12490113,18265,22
10662588,6306,6
22673807,16761,1
19396879,4,1
3712957,14991,8
15641966,5782,2
11336724,2044,1
1273177,6858,3
7293613,10099,4
21677771,8144,2
15865110,8144,5
18118051,5039,2
20123593,3309,168
1280276,10265,13
22227385,11371,6
17357062,17475,10
5336986,10231,6
12875950,6856,8
9060335,5709,2
15962950,4725,1
6710381,10746,36
20497208,3651,2
15739322,4892,1
10295327,6856,1
22092815,12109,2
13187785,16753,2
14841026,1345,8
6601676,11019,1
5442794,18265,5
12284468,12899,1
20382168,11019,2
17047587,18253,1
16189152,11688,1
16249370,4341,1
6056205,4,1
19394132,19466,8
16811574,10641,2
4744030,16657,1
21207107,6858,2
2805843,1379,1
7551577,17071,4
8563721,10594,15
20025160,4415,10
20642088,8144,5
19481769,18265,1
22012005,14991,1
5702642,9534,8
14367973,6858,10
15887636,10302,1
16189152,5570,1
4860069,18265,34
10132260,12976,1
22553933,17071,1
3896779,11931,2
10310577,8680,1
12737986,18265,2
13302643,19656,4
14350908,18844,1
509702,11933,7
6613822,18265,4
3294353,17562,14
7875643,10746,2
13299167,11039,22
21049510,1084,1
3560362,11881,2
12302182,15795,1
9371948,12370,1
11719932,11039,2
4648992,16868,1
2211637,8680,2
8062194,9608,1
13920349,12899,9
11875453,8289,1
22684532,16768,4
17128793,10279,14
20037506,12519,9
18076735,3651,2
15623943,14870,2
8444439,10099,10
22235194,18950,2
2545957,3092,10
16189152,5861,3
8484932,4516,7
10883373,12899,9
17239621,10746,13
353044,3304,1
18394008,11772,1
4861636,10640,6
2714946,8303,2
6519846,10594,1
3829643,13087,2
1623682,16366,1
13110720,12899,1
19981070,6858,2
1087887,14202,2
11477275,19040,4
22092815,9893,2
13323221,1345,2
12997711,19089,2
12387468,19656,10
5493325,19089,48
1988182,10746,12
8917990,17189,2
21046847,18837,4
15303008,12370,1
7061643,17943,2
546382,12370,1
6478007,19466,1
16910953,12370,1
21105791,18265,1
15640592,12370,2
6864279,11880,1
1763265,11196,8
19433863,7990,1
22096922,1233,6
19091790,9835,2
9813555,18911,1
13530551,8938,2
2439652,18258,2
16428123,18265,1
14109595,10286,1
12736263,5923,1
131498,6858,2
20357880,11371,2
4397839,4141,2
9844476,6856,2
5399225,8144,5
13437312,18265,12
22923931,8112,3
12154898,8023,8
17591540,12109,8
10547930,18690,4
21861962,16814,2
22571905,915,2
18970120,11039,18
12852360,12370,1
3509191,11039,9
21639644,8144,2
13136991,19656,3
10138805,9385,3
20961570,19656,2
19261953,8144,1
9985865,11881,2
2696140,10447,2
22553933,10594,3
4886519,1425,4
17004044,18260,10
6852552,12332,2
15116440,18943,2
3873614,4794,8
14272550,18265,2
6035498,18253,2
15074594,17887,5
15844881,19089,6
7294885,10533,5
9601448,10656,26
11798658,41,3
1778978,10641,11
9492929,18265,2
12490113,14524,2
5143087,19466,2
20016270,398,15
20123593,19501,646
16192860,1084,6
16450584,8303,1
1283079,6272,2
13811205,10107,6
7067143,17842,2
18161008,15999,1
705135,16424,4
4451551,16868,1
3314449,3651,6
22092815,1377,4
1736542,10746,215
13670163,1233,1
5442202,18265,1
7634540,12370,1
4760123,5292,2
17357062,17489,3
15857413,6440,1
19100072,6858,2
2012452,10746,24
5672050,9385,1
18081641,9750,10
22447303,8510,2
15880267,19419,1
2610101,6858,2
19008811,18265,10
13426183,3131,2
12737986,2528,1
644752,18265,6
3586295,10265,1
10984925,17562,12
10294139,7155,2
18518636,16367,1
15646116,10639,1
7404106,6349,1
12583040,10447,1
16074604,18853,3
9297526,1127,14
11460858,6645,5
20711693,11772,25
15201885,12370,1
9060408,12370,1
16883653,4725,4
465400,11881,12
6412073,16366,1
10985291,18265,99
8360464,19627,1
12843420,18265,8
10672851,4892,1
19670920,3651,1
7772368,10746,5
14687837,10062,6
3510778,7354,2
20357880,11019,1
19676488,19466,2
3708945,8144,2
22560906,10516,2
8470775,9835,8
16114609,18265,3
9956643,11019,2
22005315,18265,2
18670745,12370,1
12256698,16744,1
15623185,18102,9
7611674,8144,2
21741513,8815,6
12873334,10746,4
16189152,11566,4
1675817,10594,23
19165225,18844,4
22253822,1766,2
12027749,17568,2
17726385,3651,5
6402214,10746,1
13306053,11019,2
8141286,11933,6
13313936,10746,1
18159022,10128,3
710039,10137,1
17980279,12000,2
970009,19020,4
16221545,11412,1
6055533,8815,1
8036809,10265,3
9044788,431,2
20011861,1084,29
16189152,5353,3
1394804,3651,1
15538957,10137,9
2317482,12899,18
19408534,10279,2
389421,17882,1
9078650,18265,6
17980279,10746,2
1195937,16366,1
7788050,3309,22
12497928,18837,2
16206923,6856,1
7987122,11772,2
9558011,7994,1
416177,12899,2
20123593,16804,14
2667908,13093,1
1280276,10137,6
12875950,8004,3
810391,1233,4
3589806,17624,2
20141740,11933,2
15846213,17071,2
748571,8144,14
18679992,18830,2
5806931,8951,7
4567003,18732,5
6262679,16244,1
8448141,11039,30
22132401,10594,14
20936884,6309,1
12282646,11931,4
14869705,3303,4
8724798,5108,4
2575959,18917,1
17237741,17562,2
9290903,17264,18
17595793,18265,10
6845554,4168,1
19559765,13902,6
5262006,18853,5
349631,19089,8
6720201,19656,1
12257296,18265,65
22454361,8144,2
22553933,3524,2
8402041,6305,1
14227386,19034,1
9083164,19656,12
9774115,6858,2
23056590,8023,6
20123593,6012,6
20630145,12965,2
18394008,7354,1
17063553,18844,5
11701814,5494,2
128784,18853,14
22357559,3190,6
3826266,7759,1
6480940,10288,2
15401980,19416,2
1640027,17071,6
21197036,12619,42
11003169,8144,2
12262768,13912,2
7431481,18683,16
20484773,11196,40
15171394,6858,7
9528744,8815,1
13542949,11880,1
14013853,12960,1
18096764,915,6
22012013,19501,20
9060408,2044,4
23050195,11039,2
15424302,18828,1
355245,18828,21
8791064,19656,3
9952703,5886,4
40185,17596,2
4876598,5472,8
8563721,10593,6
11800232,11709,1
2314066,6125,2
5437099,16367,1
16224000,6012,31
2590558,12899,3
16193823,19626,2
13323221,4,6
1397367,12726,1
20030236,8012,1
4778837,10594,3
2024634,18265,1
9044788,12828,4
21993683,11881,10
12152562,16868,2
6594461,18830,2
1057123,12370,1
19156307,12899,3
1748271,11019,1
3711394,6306,2
10994029,7378,2
8376417,8144,8
7907887,11583,1
5917821,11886,1
13417258,18265,2
22096922,1345,14
153805,12370,1
7295197,3309,1
7291452,18265,3
19578950,17729,2
20586451,19419,5
2793895,19089,19
1402621,10594,13
5019278,11772,7
22319343,17673,2
17473489,11019,1
3011213,10171,4
23015773,9258,2
15968577,1379,12
13209996,5370,4
22385360,10640,4
7772939,12800,42
7125218,12965,1
14152496,7986,1
22227385,8303,4
20495445,2787,2
11007102,18676,1
4862093,7759,6
2680529,11447,2
22553933,9495,1
19319229,2391,2
8125322,7378,23
5095303,6571,16
2083184,10272,2
8513172,6252,1
13313936,12321,2
20826736,4374,4
6034631,18265,2
18394008,19805,12
15430164,12321,1
9871552,16957,10
10570179,17596,4
9077497,12370,1
16074604,4516,50
16195656,11019,2
16207723,4516,1
4328630,8951,8
1195937,12452,2
18157114,11447,5
1539931,16657,6
8978010,10594,2
14128251,11933,4
19555144,17568,1
13209996,5494,23
18081641,19245,13
9141532,10746,43
9562338,12899,1
10788629,4154,1
17952234,11039,4
10295327,4912,2
20497764,1075,2
19111673,8303,2
22817665,1127,2
12035825,8815,1
703992,6842,6
22745260,12813,4
8470775,18265,4
7089798,13902,4
10768373,10544,2
14943717,12899,1
20038439,4516,3
20123593,10009,6
1934853,4374,4
9721710,12370,3
19739196,11881,2
1068336,10265,8
19321729,10746,35
2002182,8023,2
20598337,10099,2
20354921,11772,2
9611240,13912,6
514950,1233,12
10220959,7914,10
20128068,4219,40
17901195,17568,2
12490113,15538,1
19585787,5923,1
2739198,8144,10
6772168,17665,7
13530551,7250,4
13585,3236,4
9520728,2844,6
22456314,12370,3
19026418,12899,1
16664265,8144,22
7672536,1127,13
20123593,5166,8
18507376,3309,1
20251395,7354,2
13766954,12370,2
14119918,11772,2
6734627,1233,1
14576529,6747,1
12777492,12370,1
16082644,18253,1
2670323,10594,1
9952539,8510,1
20123593,3561,12
20128068,17384,2
20190324,8144,2
8793204,5472,1
3393834,7914,2
17004117,11447,2
2149088,17729,2
20123593,8951,6
20141740,10447,3
147366,18853,1
21741667,10746,2
1515730,4725,18
20477332,6509,10
4630303,10746,36
5091441,2907,2
1973654,10641,7
17238128,17803,2
20037506,9787,1
22589196,3651,4
22328993,2331,2
9721710,18265,4
119621,915,19
21650516,6541,14
6741599,17562,12
10528077,197,1
3240464,8510,1
5457837,4283,1
4414908,12880,1
19225083,9893,2
15844881,18265,2
16788237,12963,1
2149088,17750,2
18161008,4516,4
3826266,11721,1
7530716,19011,1
5835275,11412,37
2916131,16768,2
20123593,3651,307
4313618,2844,4
19350758,5100,2
20123593,17421,4
22092815,10447,1
11229634,10594,6
7881341,11995,2
20243060,6437,8
12257910,18265,16
12491667,12370,2
10271591,12370,1
3369924,2543,4
15192384,19656,4
8972376,18253,1
3105357,10746,12
4207535,13912,18
9274831,7975,2
17523514,9893,2
19321729,8938,6
1390638,10207,16
2895570,17020,10
15162075,16367,1
8566535,18844,4
21538827,17189,1
17712229,10108,2
22137507,5088,2
10341106,2787,8
5301516,7250,6
7611674,6858,4
19225332,11000,2
22745260,18853,6
18183745,10746,2
7675474,12899,1
22012013,19089,6
20924960,12899,1
22118235,4892,2
18508441,9329,2
20630145,6856,1
20820030,11039,2
14574136,4609,6
19664752,6440,2
7539016,6125,2
6824756,11412,16
21775904,12581,12
2128660,10641,3
13766954,10746,2
9844476,8144,28
19090796,3651,20
22698259,18265,3
2224158,10746,4
6940979,7975,8
12608583,18154,1
4323899,12325,2
12014517,6320,8
22119372,16366,1
14265455,18265,14
19931851,6494,1
19664752,18265,2
9844814,18265,4
9986302,18265,1
21060392,16365,1
20037455,19501,6
10132260,17421,1
10128973,19656,25
14757249,6494,2
9611240,17803,16
13437164,4892,1
10878421,2391,2
16664374,8433,3
14692564,3309,49
21746769,17431,2
9259636,1335,4
19084043,8811,2
10994029,16744,1
1788913,13893,6
18842178,15389,1
465400,10594,22
5556324,9329,2
8133129,13168,16
22580989,18265,30
1409181,5979,1
15877586,15065,10
1993099,1339,4
9960165,8144,1
9759252,19656,4
20123593,10520,6
12209489,19011,1
18081641,11000,12
3149248,5494,14
10650132,18265,1
12765536,13087,2
9844476,8023,4
10570179,8144,4
19216962,13912,2
4212180,12005,14
9888941,12370,1
1996757,16753,4
10383908,12899,1
11952112,11196,2
20123593,15406,36
14712277,12370,1
20936884,15466,1
2472608,6012,4
22711908,12370,1
11938099,3651,6
22553933,11039,3
15194128,6858,14
2916131,17943,2
20357880,6482,2
5257310,2543,4
12322892,16957,1
4903125,18265,8
1657937,11371,2
18176140,16366,2
14119918,10404,3
15174061,4516,22
7531242,9843,4
147366,19089,7
13690513,4341,1
1743056,15463,1
16470315,13129,3
12159611,5848,4
8805755,12370,1
12301132,4,1
13815180,12581,2
15810481,6740,2
4312406,11447,2
21668119,18265,18
5958727,11881,7
19175490,19656,6
875472,8111,1
139357,17661,1
13548255,6858,10
583698,4287,10
1186195,12899,1
8248238,12899,5
19822951,3651,2
22312544,915,4
1996757,16653,1
19220841,11711,3
9950289,16205,13
9328637,10137,8
6869693,11886,2
17146810,8144,2
12491613,10594,1
17435779,10099,4
2467111,4168,1
7291452,3304,1
17233201,17562,6
21525659,18154,1
1277783,5484,4
3488175,13903,2
22553933,11000,2
4052997,10265,4
9315483,13087,3
11483894,12321,1
4175103,10181,2
20355838,18265,6
21984407,12899,6
20932127,5782,7
20357880,1379,2
18186727,8144,1
15796934,11772,6
7907887,16868,2
18063093,12005,4
6948390,4415,10
19220841,8004,1
234910,1813,4
16569289,8144,16
15877586,18844,6
19698936,6856,1
7533050,18265,4
487991,11196,4
17489918,14957,2
3525009,11881,6
8369267,18046,27
17815294,13902,4
13300740,13548,4
8364519,7354,4
21282933,11000,5
12720004,6554,1
1515162,19013,2
13762986,6482,6
12951276,18254,4
17612146,13087,1
11972014,8714,5
6481130,16744,2
11678086,10275,2
13245400,1766,2
14576529,13087,1
17744228,5923,11
7648891,16366,2
20123593,8812,2
22589296,3304,1
21166223,1047,46
1289551,7953,2
7295531,5682,3
13551573,12370,1
15740456,17562,26
6828706,19447,62
21110928,18258,1
21407423,3092,2
20123593,18870,6
481138,10447,2
20045940,10991,2
4299259,8144,5
9511798,5372,4
487991,8367,3
19835990,12984,1
3826266,11039,1
6841154,3651,14
18636706,16366,1
13307494,14202,4
3483324,11039,7
9520728,12370,2
17584713,19501,8
13424288,19089,2
19926546,16653,2
9508716,9329,6
21410723,7759,6
17812702,1379,8
22553933,6747,1
20011861,1127,3
20462518,3190,22
18756563,4,2
20123593,12550,2
15367461,11974,21
15430164,10137,29
4397839,18943,3
8376417,6858,16
4288997,12899,1
16091685,18853,1
22217064,9399,13
22117188,10302,1
3471476,18265,14
5368836,18689,3
360838,892,4
5757933,12600,7
21058717,17431,8
6369395,12968,1
22454361,6858,1
22396222,11019,1
12027749,18853,1
4996934,7814,3
17588553,13912,6
148297,10594,2
3589806,15389,1
9741928,6252,9
22946409,11880,1
21978622,18265,36
1739088,13103,8
4516080,3303,2
11910691,13912,8
2739198,6858,20
10683753,16849,2
8371382,1233,4
1088199,18265,32
4794556,3651,2
11804331,14864,1
13307494,1527,2
20123593,19805,28
4990863,2787,2
13430691,12277,1
4067480,8023,18
393114,10594,2
18528299,12370,1
6362556,915,4
5574178,12370,1
3243763,17943,26
17947041,10137,2
16709982,17264,6
13087023,18853,4
16658988,8023,2
5295055,2044,2
7747507,10746,2
20711693,6349,1
8268368,1127,2
9840685,6125,4
20123593,5886,4
2437327,17489,16
17596649,7045,5
7222959,11880,1
3471180,10265,8
22503158,10746,2
22398282,19631,2
2678327,7759,3
16237723,12899,3
3708945,12899,2
13690513,8144,5
4876598,5979,10
7178466,19230,4
11014346,16686,2
11496838,17562,1
5441673,10746,4
3241890,10265,2
3719448,6858,8
9724477,18689,1
13183445,11039,4
6602718,18265,6
7433525,4341,1
11569390,12370,6
6709040,4,1
14246852,1127,1
2668185,10746,13
13772966,17562,2
6485032,12370,1
19334314,10746,11
18985147,17071,1
4894755,17729,2
16189152,9787,1
20711706,4139,2
12409030,9750,2
14801624,2135,1
13707498,5292,3
21287612,3651,2
18873555,10272,16
20130908,19656,2
9492929,6125,4
8141286,11919,2
7763329,19074,2
5131436,11039,8
10202435,4516,6
8016520,3651,6
13663752,11039,4
16247353,8144,14
128784,3539,1
1316404,3238,4
16702700,6541,2
18648856,8144,2
22553933,13093,5
16305574,7354,6
15077846,19230,2
6978188,6125,8
3482077,5437,2
9367961,19466,6
15958509,19466,10
20543717,18950,2
22012013,4283,1
13776709,12370,1
18542545,18837,2
2905220,10265,24
15289360,11176,2
17811564,15460,6
14387151,11931,4
14354840,4892,3
8383145,18844,4
20638526,12899,1
18592526,913,1
10198639,19040,3
15505565,18148,2
1739645,4477,1
10641395,13887,2
22698259,4516,18
19249874,16744,1
22669234,18265,12
2550951,6482,3
9181182,12899,2
9199019,14299,1
12976900,12619,1
10547930,7759,10
5143408,1728,1
15884939,4725,2
22001340,12370,1
11332319,4283,1
7907887,11342,4
20123593,17783,2
13203115,18683,4
7709127,10181,2
22553933,18752,1
3402556,9516,2
19935517,18265,1
23062620,10746,4
5698734,16814,4
12491613,18844,2
17394345,10746,2
2925053,6856,1
22241309,12899,1
360838,18265,4
5556324,9835,2
18873555,10265,10
15074655,18265,5
716415,17562,1
16089575,18265,6
15571174,19089,1
9046239,12899,1
15791883,1233,1
19122857,11196,12
21441240,18265,2
4563749,10265,10
6709907,10447,1
12955155,11772,9
11935963,10593,1
8444439,18265,1
11146,11886,1
9850111,8144,8
8024781,6858,2
18806362,15840,1
2227375,12299,10
18990837,12899,4
6726794,3651,14
16356308,8303,1
5140811,19447,10
22553933,14957,1
10066657,3651,103
12494323,12370,2
17195237,3190,4
6522755,19274,1
21072606,11881,4
20368574,8144,16
823996,6858,6
153265,9835,4
17962635,10641,2
16198031,12370,2
7654920,9516,1
12299852,12370,1
11701814,10265,4
10650132,10265,26
22253822,12899,1
5757933,3309,7
4405289,18265,11
12375700,10275,2
20587714,17729,2
7001837,18683,4
17038743,19245,6
4407471,18265,183
2314066,10223,2
2783273,19022,5
16677874,11945,3
526507,8303,2
10295327,12899,1
3488175,15082,13
4662913,1527,6
18293755,10746,20
1403236,18265,4
4745560,3309,10
10410666,6856,2
16772184,18265,15
11164109,11931,2
14834816,4341,1
21632440,3092,2
22358804,8990,1
3951183,3309,4
14112896,13103,4
22817665,4,1
7886907,17249,1
11101565,10746,3
22715975,18265,6
13248562,913,1
5700971,3651,14
20254045,11177,4
16473603,1813,6
16911340,18253,2
20360898,17489,1
1916426,6842,2
6596829,5682,1
9610227,16828,23
1424089,17071,6
6824756,8130,7
7994289,6252,2
2346668,6858,1
17932634,7354,2
20133650,11772,4
3480765,4283,2
6596829,6185,1
9856541,17562,3
6371250,8714,7
1390638,9750,3
3209437,913,1
22788352,10287,1
360838,17020,2
13220869,18253,1
420026,4892,1
13829599,10641,2
6850243,4892,1
9831529,11880,2
20123593,15455,4
8681748,7759,10
16193178,19656,3
12720004,5326,1
6658224,12899,5
4186281,12899,6
18762791,18265,2
6253894,8144,9
19896101,11883,2
8677121,11196,8
9492929,5645,1
19226835,18265,8
3240464,8680,2
7694669,7378,3
18405348,10265,23
14350908,10181,2
5748,18725,4
12161059,19656,3
18985793,8144,4
20587714,18265,34
13437312,12370,1
2316884,10516,2
2439138,12370,1
9529523,12370,2
9761499,5919,1
8133129,13103,36
1660704,12370,1
20480746,10265,25
13804235,4892,1
3711394,17562,3
5361850,6789,4
8361933,19074,8
136381,10746,6
4860069,9893,1
1739645,17673,1
19935230,18265,1
19596973,17562,2
10416759,6858,28
19935517,10746,3
5561790,8111,2
7693039,5709,1
7531242,9893,2
1434061,18265,4
21108547,7076,1
1300907,7047,2
3590702,5212,1
4175103,6858,2
15844881,11039,6
14242614,9835,3
22553933,12675,1
21668497,12136,1
19085099,17070,13
3744046,10447,12
8854304,6628,1
2206793,10302,16
11446283,12973,3
1304451,10223,32
17711543,4206,1
22331036,2391,10
17606589,18853,32
16008653,7378,2
7659682,6858,2
11257726,11881,2
22916430,10746,88
16264406,12899,1
11798658,3178,4
6169932,18265,5
14245097,18265,22
6057065,19656,2
15198258,7310,2
11800232,18265,2
18157807,16686,2
4175103,11758,1
9199019,6305,2
8683220,18253,1
5677312,6460,2
11460858,6479,5
12970519,3303,1
13806655,2995,2
8845522,18265,14
15304851,10746,20
6602801,12370,6
159657,18265,4
17705799,1127,2
13936840,9495,2
10642913,9329,7
6597481,18914,2
21398242,9516,8
22559335,17020,8
19394132,19416,9
2314066,10207,2
6633889,5166,1
20123593,11371,22
17000874,17385,14
22717100,4911,4
8446085,10594,2
16655814,8144,6
21746769,4283,1
19554244,7378,2
16020325,6012,2
20477860,9618,7
16112133,12370,4
4521221,15083,1
20706497,18265,6
11354361,19656,22
10693267,8144,12
6950843,7076,5
21534883,19089,2
16702180,3651,2
7538633,16366,2
9525796,7844,1
11458287,12003,4
9283870,5494,2
16189152,5372,1
4187201,19466,10
21795442,18265,4
1316404,4,3
17089167,10338,1
2167671,16854,1
15267659,5923,1
8358663,12003,2
12607677,8144,3
1989752,6012,38
5592277,18833,15
11796546,17385,4
20123593,7250,24
4106665,12370,1
14350908,10180,1
5598704,12370,1
33599,10071,4
12765565,10641,14
20133650,10656,1
1211467,12899,4
12953079,3088,1
12537005,19656,1
16189152,12559,1
20243060,6509,10
6971733,3309,2
18821028,16366,1
10102571,12899,2
10177378,10746,88
18988218,19656,2
2124402,6858,3
18983229,8815,12
17947041,19466,1
8804365,4374,40
1661359,10594,3
1402621,6846,2
8972376,8144,4
17701105,8144,1
7539016,11772,2
8444439,9516,11
9295581,3651,1
17115567,12370,1
9717348,10265,10
8444439,8714,39
2666135,4309,9
15623185,17421,1
4193002,17475,7
22698259,12910,1
10418677,10640,73
8611065,11412,1
6603589,4516,28
7433525,17803,1
14245097,3190,2
10067908,18265,4
21557785,16782,1
10582542,3651,2
19896101,3309,1
16192860,4,5
8371382,121,12
21540481,11881,1
8912631,3651,34
19926546,11772,8
7059176,19656,5
20308362,19656,7
11460858,6440,2
20123593,18837,28
7243728,18258,1
15383599,3651,2
20123593,19230,4
15155385,3651,4
9042169,3092,9
21207909,17383,24
4214817,17383,4
1639452,9893,3
4293037,18265,12
9437015,12519,4
16124045,12899,1
160429,6494,10
20733766,16366,1
7757614,10271,4
6478007,16868,3
8805072,10275,1
14350908,10231,3
