userid,catid,rating
128784,19085,3
274873,9385,1
464887,11039,2
464887,10265,2
1391895,19656,7
1624078,11039,4
2227138,6858,6
2314066,17863,2
2320969,3651,26
2320969,13902,2
2320969,13893,4
2320969,3309,38
2725499,4309,6
2725499,4287,4
2725499,18265,8
3313086,11039,2
3402592,10302,1
3402592,3651,8
3828665,6482,14
4327514,10746,2
4327514,10271,1
5095303,12370,1
5095303,6645,1
5750427,3651,1
5795878,6856,4
5795878,7928,2
5795878,7759,6
5795878,7378,11
8953894,12334,1
9283870,5494,8
9283870,5391,1
10303399,16366,1
10303399,15538,1
10303399,6858,4
11716223,18853,1
11716223,12370,2
12537005,3651,2
12687530,6858,4
12687530,16366,2
12736263,5645,1
14152496,8023,14
14225088,6125,6
14225088,5923,14
14687837,10594,4
16079924,1339,2
16079924,1084,1
16424235,10641,2
16424235,10746,32
16569323,12899,1
17357705,12899,1
17834478,12370,1
17834478,13904,1
18332426,12370,1
18332426,3651,10
18405348,10265,2
18405348,12968,1
19793282,17562,2
22714256,11772,3
22825168,18265,12
22825168,16753,2
22825168,12899,2
407192,18265,13
1524111,12567,2
1524111,12518,6
1524111,12519,6
4061409,12370,1
7457527,197,6
7457527,1084,4
7457527,1339,4
7457527,915,8
8564117,5108,4
8854420,17562,2
9169707,18265,2
9396956,12370,1
9396956,8144,21
10231570,12370,1
10429885,16366,2
10878421,6858,2
10878421,7250,1
12852918,7702,2
12852918,7378,4
13317652,18265,12
13447350,15538,1
15190589,10441,1
15190589,10544,2
17516771,16366,1
17516771,8144,6
18167965,3651,2
18994423,11772,4
19325080,12370,3
19325080,17943,18
19330511,11447,1
19672796,15614,1
277968,3092,23
1643623,16851,13
1643623,17026,2
1643623,17136,7
1643623,16957,14
1643623,16814,2
2476344,18265,4
3149017,12370,1
3149017,10746,4
3488175,13903,6
3488175,15082,42
3488175,9893,1
3488175,8023,1
3488175,12005,13
3488175,9843,2
3488175,12003,2
3488175,11999,4
3643935,10746,2
4662913,1527,8
4662913,1012,2
5021270,16366,1
5368836,18853,2
5368836,18844,1
5785594,12899,2
7044627,18265,12
7519250,6858,2
7519250,16366,1
7524056,12370,1
8116998,17562,2
8342078,8004,1
11339497,8144,1
11339497,13168,3
11585792,12899,1
11965366,1084,22
12248856,12910,1
12505805,2844,2
13817711,10616,2
13817711,10594,2
14692137,2929,2
17195237,3190,2
17195237,3092,2
17195237,913,2
17370586,10099,3
17977467,19089,1
18518887,11583,3
18528299,16366,1
20543717,10594,2
21315465,7378,4
22524387,12899,1
22584770,12899,1
1175,18265,2
1175,12370,1
1175,12899,3
160429,6349,6
4310415,2929,7
4310415,3236,2
6034631,12899,1
6202291,18265,2
6207274,18265,1
7410084,17562,2
7910842,16672,1
7910842,10265,2
7910842,11601,1
8485216,18683,4
8485216,12370,2
8728301,18265,7
11108927,10746,2
11108927,10641,10
12284598,11196,10
12970519,4516,4
13818315,12081,1
13818315,19245,2
13818315,12370,1
17412397,18265,2
17478811,12370,1
17478811,16804,2
19226835,18253,1
19465313,10746,2
21076782,6628,1
21559692,3309,6
21559692,4516,4
21575913,13894,2
1198140,12370,1
1280461,12321,1
1280461,17166,4
1280461,13889,14
1365317,12370,1
1365317,18265,1
1446935,12748,6
2117707,10746,4
3629766,12899,1
4749473,19653,1
4749473,19627,1
6387633,16366,1
6387633,12420,2
8151588,2414,1
10873268,6858,8
11215594,5204,8
11259144,10746,2
11913885,10641,1
12907592,18265,2
16192824,3309,7
16192824,12968,1
17463497,12332,3
17463497,10594,20
18157114,1233,16
18157114,4,2
18157114,1335,3
19084636,11447,4
19091790,9835,2
19091790,11999,2
19396879,3303,1
20123775,11772,2
20123775,9787,1
20123775,16204,4
20123775,10746,46
13585,3151,2
13585,1012,8
13585,3190,19
