tweet_id,author,content,label
1956967341,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,0.00
1956967666,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,0.00
1956967696,coolfunky,Funeral ceremony...gloomy friday...,0.00
1956967789,czareaquino,wants to hang out with friends SOON!,1.00
1956968416,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",1.00
1956968477,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,0.00
1956968487,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",0.00
1956968636,mcsleazy,Hmmm. http://www.djhero.com/ is down,0.00
1956969035,nic0lepaula,@charviray Charlene my love. I miss you,0.00
1956969172,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?,0.00
1956969456,feinyheiny,cant fall asleep,1.00
1956969531,dudeitsmanda,Choked on her retainers,0.00
1956970047,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,0.00
1956970424,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0.00
1956970860,okiepeanut93,Got the news,1.00
1956971077,Sim_34,The storm is here and the electricity is gone,0.00
1956971170,poppygallico,@annarosekerr agreed,1.00
1956971206,brokenangel1982,So sleepy again and it's not even that late. I fail once again.,0.00
1956971473,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,0.00
1956971586,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,0.00
1956971981,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,0.00
1956972097,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",1.00
1956972116,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,1.00
1956972270,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food,0.00
1956972359,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,0.00
1956972444,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,0.00
1956972557,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",0.00
1956972884,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me,0.00
1956973598,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,0.00
1956973690,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,0.00
1956974706,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,0.00
1956975441,LovableKeKe,@cynthia_123 i cant sleep,1.00
1956975860,analalalah,I missed the bl***y bus!!!!!!!!,1.00
1956975876,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,1.00
1956975927,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow,1.00
1956976187,ivoflipse5,Screw you @davidbrussee! I only have 3 weeks...,1.00
1956976312,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,0.00
1956976371,babyxj,I need skott right now,0.00
1956976557,JanBenn,has work this afternoon,1.00
1956976681,HarryHarley,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,1.00
1956977084,ktierson,mmm much better day... so far! it's still quite early. last day of #uds,1.00
1956977187,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,1.00
1956977618,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,0.00
1956977624,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,0.00
1956978276,Aggie9,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,0.00
1956978410,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",0.00
1956978668,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",0.00
1956979150,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,0.00
1956979437,shenamygans,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",1.00
1956979756,ryarellano,wnna take a bath!!!!,1.00
1956979894,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,1.00
1956979900,a_schmel,why am i so tired?,0.00
1956979917,Dreness023,@djmicdamn hey yu lil fucker i textd yu,0.00
1956980788,nathaliep,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",1.00
1956980883,hollywoods500,@benballer  no way! damn that sucks B!  are you ok?,1.00
1956980972,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad,0.00
1956981427,Caillie,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",1.00
1956981850,robuttley,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,1.00
1956982075,minamic,@lostluna But I got dibs on Sulu...,1.00
1956982383,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",0.00
1956982449,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!,0.00
1956982576,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,0.00
1956982605,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,0.00
1956983160,crittyjoy,@Pokinatcha  in all honesty...pain   blech.,0.00
1956983171,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,0.00
1956983467,njc87,At home alone with not much to do,1.00
1956983509,heyitsmisti,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,0.00
1956983690,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,0.00
1956983851,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,0.00
1956983874,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",1.00
1956983931,MunkyMunch,I cant give @jertronic any bday nudges.,1.00
1956984185,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',0.00
1956984205,chicabajoelsol,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,1.00
1956984559,Marielii,says I miss plurking.  http://plurk.com/p/wxion,1.00
1956984864,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",0.00
1956984894,Chai_Bo,I miss Voobys!,1.00
1956985129,Cookphotos,@Dancing_Monk Neither are ELP!!,1.00
1956985535,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",1.00
1956985612,juliehuang,is sad that shin ae got married...and it wasn't to alex,0.00
1956985758,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",0.00
1956985764,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,0.00
1956985973,ssabz,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,1.00
1956986211,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",0.00
1956986359,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",0.00
1956986767,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,0.00
1956987381,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,0.00
1956987600,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,0.00
1956987828,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,0.00
1956987904,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today,0.00
1956987950,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,0.00
1956988145,padfootly,@lepetitagneau what's going on sweetheart?,1.00
1956988218,callatya,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",1.00
1956988223,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!",0.00
1956988477,enlightenthem,@willxxmobb work at 6am. Gotta go to bed soon,1.00
1956989093,Angela_Grace,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,1.00
1956989514,yellowduckx,@sweeetnspicy hiii im on my ipod...i cant fall asleep,0.00
1956989526,KaKuBby,dont wanna work 11-830 tomorrow  but i get paid,0.00
1956989560,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,0.00
1956989561,outrAjusCharmer,PrinceCharming,1.00
1956989601,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,0.00
1956989914,Fowl2,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),0.00
1956990288,MissPassion,@mrgenius23 You win ... SIGH Rakeem,0.00
1956990413,Wendywitwoo,Oh is that time for real?,1.00
1956990568,sarah_walter,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,0.00
1956990729,marpizza,Oh no one minute too late! Oh well,0.00
1956991009,rdyfrde,"@soviet_star Damn, that sucks",0.00
1956991673,M0anique,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,0.00
