date,store,storeType,weeklySales,storeSize,temperature,regionalFuelPrice,markDown,cpi,unemployment,isHoliday
4/6/12,1,A,1899676.88,151315,70.43,3.891,18461.26,221.4356112,7.143,FALSE
4/6/12,2,A,2129035.91,202307,68.43,3.891,22576.29,221.0737638,6.891,FALSE
4/6/12,3,B,503232.13,37392,73.01,3.891,6803.29,224.9393405,6.664,FALSE
4/6/12,4,A,2470206.13,205863,67.69,3.864,24914.39,131.0375484,4.308,FALSE
4/6/12,5,B,402985.7,34875,70.4,3.891,8934.82,222.0225762,5.801,FALSE
4/6/12,6,A,1840131.19,202505,71.6,3.891,17583.38,223.0419298,5.964,FALSE
4/6/12,7,B,621425.98,70713,44.29,3.854,12229.98,197.5971285,8.09,FALSE
4/6/12,8,A,1046816.59,155078,62.18,3.891,12577.8,224.9883618,5.679,FALSE
4/6/12,9,B,677885.99,125833,68.83,3.891,14633.73,225.1820555,5.539,FALSE
4/6/12,10,B,2163384.17,126512,65.99,4.282,22635.56,131.0375484,7.382,FALSE
4/6/12,11,A,1596325.01,207499,74.19,3.891,20450.65,224.9393405,6.664,FALSE
4/6/12,12,B,1128765.71,112238,64.05,4.121,19944.26,131.0375484,11.627,FALSE
4/6/12,13,A,2271614.76,219622,48.85,3.793,19295.66,131.0375484,5.965,FALSE
4/6/12,14,A,2376022.26,200898,49.73,3.996,16893.63,190.6851712,8.567,FALSE
4/6/12,15,B,659950.36,123737,40.01,4.143,13277.78,137.7970968,8.15,FALSE
4/6/12,16,B,502662.07,57197,48.93,3.854,13847.84,197.5971285,6.169,FALSE
4/6/12,17,B,986922.62,93188,43.92,3.793,17607.71,131.0375484,6.235,FALSE
4/6/12,18,B,1200815.3,120653,43.8,3.957,16447.72,137.7970968,8.304,FALSE
4/6/12,19,A,1631737.68,203819,40.23,4.143,18335.77,137.7970968,8.15,FALSE
4/6/12,20,A,2565259.92,203742,50.06,3.996,20143.38,214.2387053,7.139,FALSE
4/6/12,21,B,761956.58,140167,69.02,3.891,19492.37,221.0737638,6.891,FALSE
4/6/12,22,B,1197489.66,119557,46.38,3.957,16287.35,141.7712396,7.671,FALSE
4/6/12,23,B,1604605.69,114533,37.43,3.957,15463.77,137.7970968,4.125,FALSE
4/6/12,24,A,1524734.29,203819,45.25,4.143,32507.42,137.7970968,8.983,FALSE
4/6/12,25,B,791356.9,128107,44.73,3.996,17171.62,214.2387053,7.139,FALSE
4/6/12,26,A,1116829.23,152513,33.35,3.957,13688.69,137.7970968,7.489,FALSE
4/6/12,27,A,1899013.34,204184,48.73,4.143,19674.76,141.7712396,8.253,FALSE
4/6/12,28,A,1559592.79,206302,64.05,4.121,20297.38,131.0375484,11.627,FALSE
4/6/12,29,B,633826.55,93638,46.38,3.957,16226.11,137.7970968,9.14,FALSE
4/6/12,30,C,461511.92,42988,69.02,3.891,2389.64,221.0737638,6.891,FALSE
4/6/12,31,A,1496169.81,203750,69.02,3.891,33298.14,221.0737638,6.891,FALSE
4/6/12,32,A,1270577.01,203007,51.49,3.854,15713.99,197.5971285,8.09,FALSE
4/6/12,33,A,275911.97,39690,70.75,4.282,549.8,131.0375484,7.396,FALSE
4/6/12,34,A,1091020.37,158114,54.42,3.864,14646.41,131.0375484,9.575,FALSE
4/6/12,35,B,860293.46,103681,48.73,3.996,16345.76,141.7712396,8.876,FALSE
4/6/12,36,A,331026.11,39910,73.95,3.934,1786.28,220.1204125,6.989,FALSE
4/6/12,37,C,564848.78,39910,73.95,3.891,2159.88,220.1204125,6.989,FALSE
4/6/12,38,C,499267.66,39690,64.05,4.121,1531.19,131.0375484,11.627,FALSE
4/6/12,39,A,1764847.94,184109,73.49,3.891,28371.56,220.1204125,6.989,FALSE
4/6/12,40,A,1132064.23,155083,36.54,3.957,17257.33,137.7970968,4.125,FALSE
4/6/12,41,A,1460234.31,196321,48.48,3.854,15627.24,197.5971285,6.547,FALSE
4/6/12,42,C,652312.11,39690,65.99,4.282,286.97,131.0375484,7.382,FALSE
4/6/12,43,C,658468.27,41062,64.7,3.891,1669.41,212.8887535,9.575,FALSE
4/6/12,44,C,320021.1,39910,48.85,3.793,777.39,131.0375484,5.621,FALSE
4/6/12,45,B,899479.43,118221,49.73,3.996,20802.59,190.6851712,8.567,FALSE
4/13/12,1,A,1621031.7,151315,69.07,3.891,12378.28,221.5102105,7.143,FALSE
4/13/12,2,A,1935869.1,202307,68.08,3.891,21715.91,221.1484028,6.891,FALSE
4/13/12,3,B,420789.74,37392,72.83,3.891,9089.22,225.0135556,6.664,FALSE
4/13/12,4,A,2105301.39,205863,68.69,3.881,26787.25,131.108,4.308,FALSE
4/13/12,5,B,351832.03,34875,70.56,3.891,4169.24,222.0971111,5.801,FALSE
4/13/12,6,A,1616394.45,202505,71.29,3.891,16040.03,223.1163529,5.964,FALSE
4/13/12,7,B,517420.23,70713,41.43,3.901,5387.53,197.780931,8.09,FALSE
4/13/12,8,A,909989.45,155078,65.19,3.891,14985.68,225.0625714,5.679,FALSE
4/13/12,9,B,578539.86,125833,69.19,3.891,6893.33,225.2562439,5.539,FALSE
4/13/12,10,B,1974687.51,126512,70.28,4.254,22969.42,131.108,7.382,FALSE
4/13/12,11,A,1472752.01,207499,72.74,3.891,17824.04,225.0135556,6.664,FALSE
4/13/12,12,B,1083811.19,112238,64.28,4.254,17677.66,131.108,11.627,FALSE
4/13/12,13,A,2057637.86,219622,51.7,3.833,33481.02,131.108,5.965,FALSE
4/13/12,14,A,1912909.69,200898,51.83,4.044,22650.72,190.7595962,8.567,FALSE
4/13/12,15,B,558585.13,123737,43.52,4.187,10048.29,137.868,8.15,FALSE
4/13/12,16,B,450756.71,57197,45.83,3.901,7121.6,197.780931,6.169,FALSE
4/13/12,17,B,877055.32,93188,46.94,3.833,11762.2,131.108,6.235,FALSE
4/13/12,18,B,998443.5,120653,47.75,4.025,19155.69,137.868,8.304,FALSE
4/13/12,19,A,1365098.46,203819,44.42,4.187,22952.04,137.868,8.15,FALSE
4/13/12,20,A,2045396.06,203742,45.68,4.044,22857.57,214.3127027,7.139,FALSE
4/13/12,21,B,769319.04,140167,69.03,3.891,13322.63,221.1484028,6.891,FALSE
4/13/12,22,B,939118.24,119557,49.89,4.025,20435.67,141.8433929,7.671,FALSE
4/13/12,23,B,1231752.54,114533,41.81,4.025,13283.07,137.868,4.125,FALSE
4/13/12,24,A,1285783.87,203819,48.65,4.187,15904.33,137.868,8.983,FALSE
4/13/12,25,B,658691.56,128107,42.46,4.044,11513.9,214.3127027,7.139,FALSE
4/13/12,26,A,889670.29,152513,36.9,4.025,10372.92,137.868,7.489,FALSE
4/13/12,27,A,1650405.21,204184,52.22,4.187,15673.32,141.8433929,8.253,FALSE
4/13/12,28,A,1290684.95,206302,64.28,4.254,25981.09,131.108,11.627,FALSE
4/13/12,29,B,520493.83,93638,49.89,4.025,8408.93,137.868,9.14,FALSE
4/13/12,30,C,428784.7,42988,69.03,3.891,1616.96,221.1484028,6.891,FALSE
4/13/12,31,A,1407842.91,203750,69.03,3.891,15645.48,221.1484028,6.891,FALSE
4/13/12,32,A,1171834.47,203007,52.1,3.901,17558.4,197.780931,8.09,FALSE
4/13/12,33,A,312698.67,39690,73.17,4.254,2197.04,131.108,7.396,FALSE
4/13/12,34,A,987353.65,158114,59.12,3.881,11253.84,131.108,9.575,FALSE
4/13/12,35,B,788633.42,103681,52.22,4.044,11989.76,141.8433929,8.876,FALSE
4/13/12,36,A,339407.94,39910,72.54,3.919,1224.31,220.1953389,6.989,FALSE
4/13/12,37,C,506973.17,39910,72.54,3.891,3356.35,220.1953389,6.989,FALSE
4/13/12,38,C,435790.74,39690,64.28,4.254,2196.6,131.108,11.627,FALSE
4/13/12,39,A,1580732.73,184109,71.59,3.891,20349.96,220.1953389,6.989,FALSE
4/13/12,40,A,857811.17,155083,40.65,4.025,11573.3,137.868,4.125,FALSE
4/13/12,41,A,1323004.73,196321,46.84,3.901,17934.98,197.780931,6.547,FALSE
4/13/12,42,C,639123.45,39690,70.28,4.254,2201.99,131.108,7.382,FALSE
4/13/12,43,C,665687.92,41062,70.18,3.891,1687.47,212.9632857,9.575,FALSE
4/13/12,44,C,311390.22,39910,51.7,3.833,2613.73,131.108,5.621,FALSE
4/13/12,45,B,781970.6,118221,51.83,4.044,14401.97,190.7595962,8.567,FALSE
4/20/12,1,A,1521577.87,151315,66.76,3.877,8884.8,221.5640737,7.143,FALSE
4/20/12,2,A,1847344.45,202307,65.69,3.877,14539.14,221.2021074,6.891,FALSE
4/20/12,3,B,434822.13,37392,72.05,3.877,4247.34,225.0689541,6.664,FALSE
4/20/12,4,A,2144336.89,205863,68.6,3.864,14051.42,131.1173333,4.308,FALSE
4/20/12,5,B,330063.06,34875,67.33,3.877,3173.76,222.1512315,5.801,FALSE
4/20/12,6,A,1456073.24,202505,68.64,3.877,8677.82,223.17092,5.964,FALSE
4/20/12,7,B,457340.06,70713,39.3,3.936,5050.9,197.7227385,8.09,FALSE
4/20/12,8,A,872288.46,155078,63.59,3.877,22425.21,225.1179914,5.679,FALSE
4/20/12,9,B,542819.03,125833,68.04,3.877,2445.45,225.3117488,5.539,FALSE
4/20/12,10,B,1777166.53,126512,67.75,4.111,15147.63,131.1173333,7.382,FALSE
4/20/12,11,A,1315356.99,207499,71.97,3.877,13224.21,225.0689541,6.664,FALSE
4/20/12,12,B,1006486.96,112238,66.73,4.222,15189.83,131.1173333,11.627,FALSE
4/20/12,13,A,1955689.12,219622,50.24,3.845,39620.13,131.1173333,5.965,FALSE
4/20/12,14,A,1875686.44,200898,63.13,4.027,45013.81,190.8138013,8.567,FALSE
4/20/12,15,B,534780.57,123737,54.47,4.17,9187.55,137.9230667,8.15,FALSE
4/20/12,16,B,436221.26,57197,43.61,3.936,5301.65,197.7227385,6.169,FALSE
4/20/12,17,B,1119979.98,93188,47.69,3.845,6360.11,131.1173333,6.235,FALSE
4/20/12,18,B,1025813.8,120653,60.88,4.046,24097.37,137.9230667,8.304,FALSE
4/20/12,19,A,1255087.26,203819,55.2,4.17,17125.21,137.9230667,8.15,FALSE
4/20/12,20,A,1884427.84,203742,60.11,4.027,18312.47,214.3675045,7.139,FALSE
